"Name","DisplayName","Status","StartType"
"AarSvc_6bce1","Agent Activation Runtime_6bce1","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AMD Crash Defender Service","AMD Crash Defender Service","Running","Automatic"
"AMD External Events Utility","AMD External Events Utility","Running","Automatic"
"AppIDSvc","Application Identity","Running","Manual"
"Appinfo","Application Information","Running","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual"
"ApxSvc","Windows ??????????","Stopped","Manual"
"ArmouryCrateControlInterface","Armoury Crate Control Interface","Stopped","Automatic"
"AssignedAccessManagerSvc","AssignedAccessManager ??","Stopped","Manual"
"AsusAppService","ASUS App Service","Running","Automatic"
"AsusNumPadService","AsusNumPadService","Running","Automatic"
"ASUSOptimization","ASUS Optimization","Running","Automatic"
"ASUSSoftwareManager","ASUS Software Manager","Running","Automatic"
"ASUSSwitch","ASUS Switch","Running","Automatic"
"ASUSSystemAnalysis","ASUS System Analysis","Running","Automatic"
"ASUSSystemDiagnosis","ASUS System Diagnosis","Running","Automatic"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"autotimesvc","??????","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_6bce1","GameDVR ???????_6bce1","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Stopped","Manual"
"BluetoothUserService_6bce1","????????_6bce1","Running","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"BTAGService","????????","Running","Manual"
"BthAvctpSvc","AVCTP ??","Running","Manual"
"bthserv","??????","Running","Manual"
"camsvc","?????????","Running","Manual"
"CaptureService_6bce1","CaptureService_6bce1","Stopped","Manual"
"cbdhsvc_6bce1","???????_6bce1","Running","Automatic"
"CDPSvc","????????","Running","Automatic"
"CDPUserSvc_6bce1","??????????_6bce1","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Manual"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual"
"CloudBackupRestoreSvc_6bce1","????????_6bce1","Stopped","Manual"
"cloudidsvc","Microsoft ?????","Stopped","Manual"
"COMSysApp","COM+ System Application","Stopped","Manual"
"ConsentUxUserSvc_6bce1","ConsentUX ????_6bce1","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_6bce1","CredentialEnrollmentManagerUserSvc_6bce1","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"CscService","Offline Files","Stopped","Manual"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"dcsvc","??????(DC)??","Stopped","Manual"
"defragsvc","Optimize drives","Stopped","Manual"
"DeviceAssociationBrokerSvc_6bce1","DeviceAssociationBroker_6bce1","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Running","Manual"
"DeviceInstall","Device Install Service","Running","Manual"
"DevicePickerUserSvc_6bce1","DevicePicker_6bce1","Stopped","Manual"
"DevicesFlowUserSvc_6bce1","DevicesFlow_6bce1","Running","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Running","Manual"
"Dhcp","DHCP Client","Running","Automatic"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic"
"DialogBlockingService","DialogBlockingService","Stopped","Disabled"
"DispBrokerDesktopSvc","??????","Running","Automatic"
"DisplayEnhancementService","??????","Running","Manual"
"DmEnrollmentSvc","????????","Stopped","Manual"
"dmwappushservice","???????????? (WAP) ????????","Stopped","Manual"
"Dnscache","DNS Client","Running","Automatic"
"DolbyDAXAPI","Dolby DAX API Service","Running","Automatic"
"DoSvc","Delivery Optimization","Stopped","Automatic"
"dot3svc","Wired AutoConfig","Stopped","Manual"
"DPS","Diagnostic Policy Service","Running","Automatic"
"DsmSvc","Device Setup Manager","Stopped","Manual"
"DsSvc","Data Sharing Service","Stopped","Manual"
"DusmSvc","?????","Running","Automatic"
"EapHost","Extensible Authentication Protocol","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Stopped","Manual"
"embeddedmode","????","Stopped","Manual"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual"
"EventLog","Windows Event Log","Running","Automatic"
"EventSystem","COM+ Event System","Running","Automatic"
"fdPHost","Function Discovery Provider Host","Stopped","Manual"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual"
"fhsvc","File History Service","Stopped","Manual"
"FontCache","Windows Font Cache Service","Running","Automatic"
"FrameServer","Windows Camera Frame Server","Stopped","Manual"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual"
"GameInputSvc","GameInput Service","Stopped","Manual"
"gpsvc","Group Policy Client","Running","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual"
"hidserv","Human Interface Device Service","Running","Manual"
"HvHost","HV ????","Stopped","Manual"
"icssvc","Windows ??????","Stopped","Manual"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual"
"InstallService","Microsoft Store ????","Running","Manual"
"InventorySvc","??????????","Running","Manual"
"iphlpsvc","IP Helper","Running","Automatic"
"IpxlatCfgSvc","IP ??????","Stopped","Manual"
"KeyIso","CNG Key Isolation","Running","Manual"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LanmanServer","Server","Running","Automatic"
"LanmanWorkstation","Workstation","Running","Automatic"
"lfsvc","Geolocation Service","Running","Manual"
"LicenseManager","Windows ????????","Running","Manual"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual"
"LocalKdc","Kerberos ????????","Stopped","Manual"
"LSM","Local Session Manager","Running","Automatic"
"LxpSvc","??????","Stopped","Manual"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic"
"McpManagementService","McpManagementService","Stopped","Manual"
"MDCoreSvc","Microsoft Defender Core ??","Running","Automatic"
"MessagingService_6bce1","MessagingService_6bce1","Stopped","Manual"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual"
"mpssvc","Windows Defender Firewall","Running","Automatic"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual"
"msiserver","Windows Installer","Stopped","Manual"
"MsKeyboardFilter","Microsoft ?????","Stopped","Disabled"
"NaturalAuthentication","??????","Stopped","Manual"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual"
"NcbService","Network Connection Broker","Running","Manual"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual"
"Netlogon","Netlogon","Stopped","Manual"
"Netman","Network Connections","Stopped","Manual"
"netprofm","Network List Service","Running","Manual"
"NetSetupSvc","Network Setup Service","Stopped","Manual"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual"
"NgcSvc","Microsoft Passport","Stopped","Manual"
"NlaSvc","??????","Stopped","Manual"
"NPSMSvc_6bce1","???????????_6bce1","Running","Manual"
"nsi","Network Store Interface Service","Running","Automatic"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running","Automatic"
"OneSyncSvc_6bce1","????_6bce1","Running","Automatic"
"P9RdrService_6bce1","P9RdrService_6bce1","Stopped","Manual"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic"
"PeerDistSvc","BranchCache","Stopped","Manual"
"PenService_6bce1","PenService_6bce1","Stopped","Manual"
"perceptionsimulation","Windows ??????","Stopped","Manual"
"PerfHost","Performance Counter DLL Host","Stopped","Manual"
"PhoneSvc","Phone Service","Stopped","Manual"
"PimIndexMaintenanceSvc_6bce1","Contact Data_6bce1","Stopped","Manual"
"pla","Performance Logs & Alerts","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"PolicyAgent","IPsec Policy Agent","Stopped","Manual"
"Power","Power","Running","Automatic"
"PrintDeviceConfigurationService","????????","Stopped","Manual"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual"
"PrintScanBrokerService","PrintScanBrokerService","Stopped","Manual"
